SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
573030,LAKME ABS LASHBOOSTEXTREMEMASCARA10ML,Lakme,MAKEUP,95,23,48.0,39.21923684483301,0.9679315896571102,2102.462625524662,0.0
557157,LAKME ABS MICRO BROW PERFERCTER COFFEE,Lakme,MAKEUP,148,15,31.0,60.91331942091707,1.6123939605468138,9818.896342797363,0.0
572056,LAKME9-5 MAT2GLASLIQLIPMB02BRWNSUGR7.6GM,Lakme,MAKEUP,138,21,41.0,40.76027436741224,1.0985705743358627,4209.741853799898,0.0
571273,LAKMEABS 3DLIPSTICK 20WINEFLAIR 3.6GM,Lakme,MAKEUP,126,23,50.0,49.77133266029349,1.047879426353939,3566.172643116766,0.0
558649,LAKME ABS BLUR PERFECT MAKEUP PRIMER,Lakme,MAKEUP,151,19,30.0,41.61567473706553,0.8448396526413753,4820.35716990487,0.0
545231,LAKME SUN EXPERT GEL SPF50 50G,Lakme,SKIN,145,21,30.0,47.41468782180197,0.9731319961007555,4630.152920879826,0.0
573338,LAKME ABS BND MAT LIP 501 BURGNDYBS3.4GM,Lakme,MAKEUP,128,23,46.0,44.3780903360373,0.8442143576725151,3141.2193244999103,0.0
540364,LAK 9TO5 WGTLESS M BEIG CARAML,Lakme,MAKEUP,133,20,38.0,47.43045168875685,1.1003070513523634,5771.253274927866,0.0
518538,LAK 9TO5 EYE QURT DESERT ROSE,Lakme,MAKEUP,111,17,22.0,92.65874792526058,2.3552915975086868,13408.270622986265,0.0
567473,PEARS PURE & GENTLE BODY WASH 750 ML,PEARS,PW,151,23,39.0,42.505666139943415,0.8485208953708196,3254.1857227146716,0.0
518445,PONDS WB PW GLOW CRM 50GM,Ponds,SKIN,143,16,24.0,45.7886420514794,1.0810274244235967,7266.801904008594,0.0
545831,LAKME PEACH MILK SOFT CREME 50G,Lakme,SKIN,134,18,30.0,37.95235427485872,1.003662639299188,5033.425697479955,0.0
573340,LAKME FACELIFT BROW SCULPT PALETTE,Lakme,MAKEUP,137,18,28.0,53.811648754505725,1.0400475031791352,6857.112394483872,0.0
555348,LAKME TE FRVR LIQ LIP NUDEDREAM,Lakme,MAKEUP,129,22,43.0,49.86972284642108,1.1556068313960817,3707.0920008281623,0.0
572025,LAKME 9-5 P+MLIPMB7CINNAMONSPICE 3.6G,Lakme,MAKEUP,147,20,26.0,34.93635769421355,0.6521220950169333,3948.949413742947,0.0
572526,LAKME EYECONIC COLLECTION EYE REGIMEKIT,Lakme,MAKEUP,140,18,26.0,34.27193541768605,0.6916597780798915,4178.023724062523,0.0
570935,LBP COFFEE & WARM VANILLA BW 200ML,LBP,PW,128,1,2.0,3.135191144403026,1.7117303814676752,10417.137148010086,0.0
568972,VASELINE COCOA GLOW LOTION 600ML,Vaseline,SKIN,92,23,56.0,2.6753001602950333,1.8153593978069476,245.29535441148388,0.0
